ID Físico Camión,Cluster,Clase K / Plantilla,Turno,Salida CD,Retorno CD,Viaje Efectivo (min),Dist Total,Clientes Atendidos,Peso,Tiempo Solución (segundos)
1,6,K11,Mañana,09:00,09:42,22.37,85.76,4,76.0,49.8
2,8,K11,Mañana,09:00,09:56,31.27,120.43,5,51.0,49.8
3,4,K11,Mañana,09:00,10:25,50.85,201.05,7,89.0,49.8
4,2,K11,Mañana,09:00,10:31,51.32,204.0,8,99.0,49.8
4,2,K12,Tarde,15:00,15:47,32.17,137.51,3,45.0,49.8
5,5,K11,Mañana,09:00,10:27,47.5,188.41,8,95.0,49.8
5,5,K12,Tarde,15:00,15:43,28.77,123.22,3,40.0,49.8
6,3,K11,Mañana,09:00,10:42,57.58,228.78,9,84.0,49.8
7,7,K11,Mañana,09:00,10:42,67.28,267.98,7,38.0,49.8
8,9,K11,Mañana,09:00,10:06,36.22,140.61,6,85.0,49.8
8,9,K12,Tarde,15:00,15:27,22.25,96.21,1,23.0,49.8
9,1,K11,Mañana,09:00,10:06,26.41,102.62,8,90.0,49.8
10,0,K11,Mañana,09:00,10:39,59.63,237.27,8,91.0,49.8
10,0,K12,Tarde,15:00,15:52,42.06,180.06,2,36.0,49.8
