ID Físico,Turno,Cluster,Subconjunto,nodo,Hora Llegada,coordenadas,distancia_tramo,peso_tramo
1,Mañana,5,K11,DEPOT,09:00,N/A,0.0,0.0
1,Mañana,5,K11,28,09:01,"(94.0, 44.0)",7.07,10.0
1,Mañana,5,K11,36,09:08,"(100.0, 44.0)",6.0,7.0
1,Mañana,5,K11,17,09:14,"(96.0, 42.0)",4.47,14.0
1,Mañana,5,K11,53,09:20,"(94.0, 42.0)",2.0,10.0
1,Mañana,5,K11,2,09:25,"(93.0, 41.0)",1.41,10.0
1,Mañana,5,K11,DEPOT (RETORNO),09:32,N/A,7.21,0.0
2,Mañana,6,K11,DEPOT,09:00,N/A,0.0,0.0
2,Mañana,6,K11,48,09:04,"(90.0, 28.0)",17.26,5.0
2,Mañana,6,K11,40,09:10,"(90.0, 24.0)",4.0,12.0
2,Mañana,6,K11,5,09:16,"(89.0, 19.0)",5.1,25.0
2,Mañana,6,K11,27,09:23,"(94.0, 24.0)",7.07,4.0
2,Mañana,6,K11,22,09:29,"(98.0, 26.0)",4.47,22.0
2,Mañana,6,K11,DEPOT (RETORNO),09:40,N/A,21.95,0.0
3,Mañana,4,K11,DEPOT,09:00,N/A,0.0,0.0
3,Mañana,4,K11,24,09:21,"(10.0, 12.0)",83.77,5.0
3,Mañana,4,K11,51,09:27,"(8.0, 12.0)",2.0,19.0
3,Mañana,4,K11,23,09:32,"(8.0, 12.0)",0.0,26.0
3,Mañana,4,K11,39,09:37,"(6.0, 12.0)",2.0,6.0
3,Mañana,4,K11,10,09:44,"(5.0, 5.0)",7.07,8.0
3,Mañana,4,K11,13,09:51,"(10.0, 8.0)",5.83,7.0
3,Mañana,4,K11,DEPOT (RETORNO),10:17,N/A,85.43,0.0
4,Mañana,3,K11,DEPOT,09:00,N/A,0.0,0.0
4,Mañana,3,K11,49,09:02,"(94.0, 50.0)",8.6,24.0
4,Mañana,3,K11,37,09:08,"(94.0, 56.0)",6.0,12.0
