ID Físico Camión,Cluster,Clase K / Plantilla,Turno,Salida CD,Retorno CD,Viaje Efectivo (min),Dist Total,Clientes Atendidos,Peso,Tiempo Solución (segundos)
1,0,K11,Mañana,09:00,10:22,57.44,224.83,5,98.0,537.6
1,0,K12,Tarde,15:00,16:15,50.89,216.07,5,75.0,537.6
2,1,K11,Mañana,09:00,10:10,35.7,139.43,7,98.0,537.6
2,1,K12,Tarde,15:00,15:31,26.77,115.55,1,9.0,537.6
3,2,K11,Mañana,09:00,10:16,51.1,198.98,5,88.0,537.6
3,2,K12,Tarde,15:00,15:45,40.83,175.45,1,18.0,537.6
4,3,K11,Mañana,09:00,10:16,51.77,201.85,5,67.0,537.6
5,4,K11,Mañana,09:00,10:12,37.76,147.67,7,94.0,537.6
5,4,K12,Tarde,15:00,15:33,28.3,122.11,1,20.0,537.6
6,5,K11,Mañana,09:00,10:04,29.88,116.15,7,72.0,537.6
7,6,K11,Mañana,09:00,10:11,51.66,200.18,4,43.0,537.6
8,7,K11,Mañana,09:00,10:09,49.54,191.38,4,41.0,537.6
9,8,K11,Mañana,09:00,09:48,28.6,109.65,4,80.0,537.6
