ID Físico,Turno,Cluster,Subconjunto,nodo,Hora Llegada,coordenadas,distancia_tramo,peso_tramo
1,Mañana,0,K11,DEPOT,09:00,N/A,0.0,0.0
1,Mañana,0,K11,4,09:08,"(307.0, 464.0)",34.44,400.0
1,Mañana,0,K11,6,09:21,"(320.0, 439.0)",28.18,40.0
1,Mañana,0,K11,7,09:26,"(321.0, 437.0)",2.24,80.0
1,Mañana,0,K11,8,09:32,"(322.0, 437.0)",1.0,2000.0
1,Mañana,0,K11,9,09:38,"(323.0, 433.0)",4.12,900.0
1,Mañana,0,K11,10,09:43,"(324.0, 433.0)",1.0,600.0
1,Mañana,0,K11,11,09:49,"(323.0, 429.0)",4.12,750.0
1,Mañana,0,K11,33,09:55,"(319.0, 433.0)",5.66,1100.0
1,Mañana,0,K11,12,10:02,"(314.0, 435.0)",5.39,1500.0
1,Mañana,0,K11,13,10:09,"(311.0, 442.0)",7.62,150.0
1,Mañana,0,K11,3,10:15,"(309.0, 445.0)",3.61,400.0
1,Mañana,0,K11,DEPOT (RETORNO),10:32,N/A,52.81,0.0
1,Tarde,0,K12,DEPOT,15:00,N/A,0.0,0.0
1,Tarde,0,K12,5,15:11,"(336.0, 475.0)",48.33,1200.0
1,Tarde,0,K12,DEPOT (RETORNO),15:27,N/A,48.33,0.0
2,Mañana,1,K11,DEPOT,09:00,N/A,0.0,0.0
2,Mañana,1,K11,14,09:18,"(304.0, 427.0)",69.05,250.0
2,Mañana,1,K11,2,09:24,"(298.0, 427.0)",6.0,700.0
2,Mañana,1,K11,16,09:31,"(296.0, 418.0)",9.22,450.0
2,Mañana,1,K11,18,09:39,"(297.0, 410.0)",8.06,550.0
2,Mañana,1,K11,26,09:46,"(295.0, 402.0)",8.25,1400.0
2,Mañana,1,K11,15,09:56,"(293.0, 421.0)",19.1,1600.0
2,Mañana,1,K11,32,10:04,"(290.0, 434.0)",13.34,1700.0
2,Mañana,1,K11,DEPOT (RETORNO),10:24,N/A,61.03,0.0
2,Tarde,1,K12,DEPOT,15:00,N/A,0.0,0.0
2,Tarde,1,K12,31,15:13,"(277.0, 439.0)",57.97,2500.0
2,Tarde,1,K12,DEPOT (RETORNO),15:31,N/A,57.97,0.0
3,Mañana,2,K11,DEPOT,09:00,N/A,0.0,0.0
3,Mañana,2,K11,20,09:23,"(314.0, 406.0)",91.68,200.0
3,Mañana,2,K11,23,09:32,"(314.0, 394.0)",12.0,1300.0
3,Mañana,2,K11,25,09:41,"(304.0, 382.0)",15.62,750.0
3,Mañana,2,K11,24,09:48,"(313.0, 378.0)",9.85,700.0
3,Mañana,2,K11,21,09:57,"(321.0, 391.0)",15.26,400.0
3,Mañana,2,K11,22,10:04,"(321.0, 398.0)",7.0,300.0
3,Mañana,2,K11,19,10:11,"(315.0, 407.0)",10.82,650.0
3,Mañana,2,K11,DEPOT (RETORNO),10:38,N/A,90.96,0.0
4,Mañana,3,K11,DEPOT,09:00,N/A,0.0,0.0
4,Mañana,3,K11,30,09:22,"(264.0, 414.0)",85.7,500.0
4,Mañana,3,K11,29,09:31,"(271.0, 401.0)",14.76,1000.0
4,Mañana,3,K11,17,09:41,"(261.0, 384.0)",19.72,700.0
4,Mañana,3,K11,28,09:52,"(279.0, 399.0)",23.43,600.0
4,Mañana,3,K11,27,09:59,"(283.0, 406.0)",8.06,4000.0
4,Mañana,3,K11,DEPOT (RETORNO),10:26,N/A,89.45,0.0
