ID Físico,Turno,Cluster,Subconjunto,nodo,Hora Llegada,coordenadas,distancia_tramo,peso_tramo
1,Mañana,13,K11,DEPOT,09:00,N/A,0.0,0.0
1,Mañana,13,K11,351,09:05,"(-6.6072, -19.0735)",20.19,10.0
1,Mañana,13,K11,406,09:10,"(-7.7085, -19.0735)",1.1,10.0
1,Mañana,13,K11,411,09:16,"(-8.2591, -23.8419)",4.8,10.0
1,Mañana,13,K11,412,09:23,"(-5.506, -28.6102)",5.51,20.0
1,Mañana,13,K11,353,09:29,"(-2.2024, -26.7029)",3.81,10.0
1,Mañana,13,K11,352,09:35,"(-4.4048, -22.8882)",4.4,20.0
1,Mañana,13,K11,DEPOT (RETORNO),09:46,N/A,23.31,0.0
2,Mañana,17,K11,DEPOT,09:00,N/A,0.0,0.0
2,Mañana,17,K11,274,09:05,"(-1.7619, 21.3623)",21.43,10.0
2,Mañana,17,K11,249,09:11,"(0.0, 24.4141)",3.52,40.0
2,Mañana,17,K11,334,09:17,"(-2.2024, 26.7029)",3.18,10.0
2,Mañana,17,K11,393,09:23,"(-5.506, 28.6102)",3.81,20.0
2,Mañana,17,K11,392,09:29,"(-8.2591, 23.8419)",5.51,10.0
2,Mañana,17,K11,333,09:35,"(-4.4048, 22.8882)",3.97,20.0
2,Mañana,17,K11,DEPOT (RETORNO),09:46,N/A,23.31,0.0
3,Mañana,12,K11,DEPOT,09:00,N/A,0.0,0.0
3,Mañana,12,K11,327,09:05,"(6.6072, 19.0735)",20.19,10.0
3,Mañana,12,K11,382,09:10,"(7.7085, 19.0735)",1.1,10.0
3,Mañana,12,K11,387,09:16,"(8.2591, 23.8419)",4.8,10.0
3,Mañana,12,K11,388,09:23,"(5.506, 28.6102)",5.51,20.0
3,Mañana,12,K11,329,09:29,"(2.2024, 26.7029)",3.81,10.0
3,Mañana,12,K11,328,09:35,"(4.4048, 22.8882)",4.4,20.0
3,Mañana,12,K11,DEPOT (RETORNO),09:46,N/A,23.31,0.0
4,Mañana,9,K11,DEPOT,09:00,N/A,0.0,0.0
4,Mañana,9,K11,324,09:05,"(13.2145, 15.2588)",20.19,10.0
4,Mañana,9,K11,375,09:10,"(12.6639, 16.2125)",1.1,10.0
4,Mañana,9,K11,363,09:16,"(11.0121, 19.0735)",3.3,40.0
4,Mañana,9,K11,384,09:22,"(16.5181, 19.0735)",5.51,10.0
4,Mañana,9,K11,385,09:29,"(22.0242, 19.0735)",5.51,20.0
4,Mañana,9,K11,326,09:35,"(22.0242, 15.2588)",3.81,10.0
4,Mañana,9,K11,325,09:41,"(17.6193, 15.2588)",4.4,20.0
4,Mañana,9,K11,DEPOT (RETORNO),09:52,N/A,23.31,0.0
5,Mañana,7,K11,DEPOT,09:00,N/A,0.0,0.0
5,Mañana,7,K11,193,09:05,"(16.9146, -9.7656)",19.53,40.0
5,Mañana,7,K11,301,09:10,"(17.6193, -12.207)",2.54,10.0
5,Mañana,7,K11,361,09:17,"(22.0242, -15.2588)",5.36,10.0
5,Mañana,7,K11,420,09:23,"(22.0242, -19.0735)",3.81,20.0
5,Mañana,7,K11,419,09:29,"(16.5181, -19.0735)",5.51,10.0
5,Mañana,7,K11,360,09:35,"(17.6193, -15.2588)",3.97,20.0
5,Mañana,7,K11,300,09:41,"(14.0955, -12.207)",4.66,20.0
5,Mañana,7,K11,DEPOT (RETORNO),09:51,N/A,18.65,0.0
6,Mañana,8,K11,DEPOT,09:00,N/A,0.0,0.0
6,Mañana,8,K11,275,09:04,"(-10.5716, 12.207)",16.15,10.0
6,Mañana,8,K11,330,09:09,"(-10.1311, 12.97)",0.88,10.0
6,Mañana,8,K11,335,09:15,"(-13.2145, 15.2588)",3.84,10.0
6,Mañana,8,K11,390,09:20,"(-12.6639, 16.2125)",1.1,10.0
6,Mañana,8,K11,364,09:26,"(-11.0121, 19.0735)",3.3,40.0
6,Mañana,8,K11,383,09:32,"(-7.7085, 19.0735)",3.3,10.0
6,Mañana,8,K11,332,09:37,"(-6.6072, 19.0735)",1.1,10.0
6,Mañana,8,K11,304,09:43,"(-8.8097, 15.2588)",4.4,40.0
6,Mañana,8,K11,DEPOT (RETORNO),09:53,N/A,17.62,0.0
7,Mañana,14,K11,DEPOT,09:00,N/A,0.0,0.0
7,Mañana,14,K11,299,09:04,"(10.5716, -12.207)",16.15,10.0
7,Mañana,14,K11,354,09:09,"(10.1311, -12.97)",0.88,10.0
7,Mañana,14,K11,359,09:15,"(13.2145, -15.2588)",3.84,10.0
7,Mañana,14,K11,414,09:20,"(12.6639, -16.2125)",1.1,10.0
7,Mañana,14,K11,367,09:26,"(11.0121, -19.0735)",3.3,40.0
7,Mañana,14,K11,407,09:32,"(7.7085, -19.0735)",3.3,10.0
7,Mañana,14,K11,356,09:37,"(6.6073, -19.0735)",1.1,10.0
7,Mañana,14,K11,307,09:43,"(8.8097, -15.2588)",4.4,40.0
7,Mañana,14,K11,DEPOT (RETORNO),09:53,N/A,17.62,0.0
8,Mañana,10,K11,DEPOT,09:00,N/A,0.0,0.0
8,Mañana,10,K11,198,09:04,"(15.505, -7.3242)",17.15,10.0
8,Mañana,10,K11,257,09:10,"(17.6193, -6.1035)",2.44,20.0
8,Mañana,10,K11,258,09:16,"(19.3813, -9.1553)",3.52,10.0
8,Mañana,10,K11,253,09:21,"(21.1432, -12.207)",3.52,40.0
