ID Físico Camión,Cluster,Clase K / Plantilla,Turno,Salida CD,Retorno CD,Viaje Efectivo (min),Dist Total,Clientes Atendidos,Peso,Tiempo Solución (segundos)
1,0,K11,Mañana,09:00,10:11,11.14,43.81,12,200.0,3557.5
1,0,K12,Tarde,15:00,15:57,7.47,31.76,10,200.0,3557.5
2,0,K21,Mañana,11:00,11:14,4.7,19.58,2,30.0,3557.5
3,1,K11,Mañana,09:00,10:11,11.14,43.81,12,200.0,3557.5
3,1,K12,Tarde,15:00,15:57,7.57,32.18,10,200.0,3557.5
4,1,K21,Mañana,11:00,11:14,4.7,19.58,2,30.0,3557.5
5,2,K11,Mañana,09:00,10:19,14.82,58.81,13,200.0,3557.5
5,2,K12,Tarde,15:00,15:16,6.78,29.38,2,50.0,3557.5
6,3,K11,Mañana,09:00,10:12,7.98,31.56,13,200.0,3557.5
6,3,K12,Tarde,15:00,16:11,6.38,26.89,13,200.0,3557.5
7,3,K21,Mañana,11:00,11:13,3.46,14.43,2,80.0,3557.5
8,4,K11,Mañana,09:00,10:10,20.55,80.73,10,170.0,3557.5
9,5,K11,Mañana,09:00,10:08,13.05,51.22,11,200.0,3557.5
9,5,K12,Tarde,15:00,15:16,6.18,26.79,2,20.0,3557.5
10,6,K11,Mañana,09:00,10:00,10.37,40.34,10,200.0,3557.5
10,6,K12,Tarde,15:00,15:35,5.96,25.5,6,110.0,3557.5
11,7,K11,Mañana,09:00,09:51,16.62,64.03,7,130.0,3557.5
12,8,K11,Mañana,09:00,09:53,13.39,51.7,8,140.0,3557.5
13,9,K11,Mañana,09:00,09:52,17.41,67.13,7,120.0,3557.5
14,10,K11,Mañana,09:00,10:07,17.67,69.18,10,160.0,3557.5
15,11,K11,Mañana,09:00,10:00,10.37,40.34,10,200.0,3557.5
15,11,K12,Tarde,15:00,15:35,5.96,25.5,6,110.0,3557.5
16,12,K11,Mañana,09:00,09:46,16.47,63.12,6,80.0,3557.5
17,13,K11,Mañana,09:00,09:46,16.47,63.12,6,80.0,3557.5
18,14,K11,Mañana,09:00,09:53,13.39,51.7,8,140.0,3557.5
19,15,K11,Mañana,09:00,10:07,7.36,28.86,12,200.0,3557.5
19,15,K12,Tarde,15:00,15:44,4.05,17.24,8,140.0,3557.5
20,16,K11,Mañana,09:00,10:07,7.05,27.66,12,190.0,3557.5
20,16,K12,Tarde,15:00,15:44,4.49,19.14,8,150.0,3557.5
21,17,K11,Mañana,09:00,09:46,16.88,64.73,6,110.0,3557.5
22,18,K11,Mañana,09:00,09:46,16.88,64.73,6,110.0,3557.5
23,19,K11,Mañana,09:00,10:08,18.03,70.58,10,190.0,3557.5
24,20,K11,Mañana,09:00,09:46,16.87,64.73,6,110.0,3557.5
25,21,K11,Mañana,09:00,09:40,20.61,78.99,4,100.0,3557.5
26,22,K11,Mañana,09:00,10:03,13.6,53.1,10,200.0,3557.5
26,22,K12,Tarde,15:00,15:21,6.56,28.32,3,70.0,3557.5
27,23,K11,Mañana,09:00,10:12,7.3,28.65,13,200.0,3557.5
27,23,K12,Tarde,15:00,15:39,4.44,18.99,7,140.0,3557.5
28,24,K11,Mañana,09:00,10:09,9.75,38.24,12,200.0,3557.5
28,24,K12,Tarde,15:00,15:14,4.67,20.22,2,50.0,3557.5
29,25,K11,Mañana,09:00,10:01,11.04,43.0,10,160.0,3557.5
30,26,K11,Mañana,09:00,10:01,11.04,43.0,10,160.0,3557.5
31,27,K11,Mañana,09:00,10:03,13.62,53.1,10,200.0,3557.5
32,28,K11,Mañana,09:00,10:03,13.62,53.1,10,200.0,3557.5
33,29,K11,Mañana,09:00,09:46,16.88,64.73,6,110.0,3557.5
34,30,K11,Mañana,09:00,09:40,20.61,78.99,4,100.0,3557.5
35,31,K11,Mañana,09:00,09:40,20.61,78.99,4,100.0,3557.5
36,32,K11,Mañana,09:00,09:40,20.61,78.99,4,100.0,3557.5
37,33,K11,Mañana,09:00,09:40,20.61,78.99,4,100.0,3557.5
38,34,K11,Mañana,09:00,09:40,20.61,78.99,4,100.0,3557.5
39,35,K11,Mañana,09:00,09:57,12.99,50.42,9,180.0,3557.5
40,36,K11,Mañana,09:00,10:11,6.06,23.85,13,180.0,3557.5
40,36,K12,Tarde,15:00,15:07,2.66,11.55,1,40.0,3557.5
41,37,K11,Mañana,09:00,10:11,6.06,23.85,13,180.0,3557.5
41,37,K12,Tarde,15:00,15:07,2.66,11.55,1,40.0,3557.5
