ID Físico,Turno,Cluster,Subconjunto,nodo,Hora Llegada,coordenadas,distancia_tramo,peso_tramo
1,Mañana,16,K11,DEPOT,09:00,N/A,0.0,0.0
1,Mañana,16,K11,21,09:08,"(45.0, 65.0)",31.62,9.0
1,Mañana,16,K11,189,09:13,"(47.0, 66.0)",2.24,24.0
1,Mañana,16,K11,67,09:20,"(49.0, 73.0)",7.28,25.0
1,Mañana,16,K11,129,09:27,"(43.0, 67.0)",8.49,14.0
1,Mañana,16,K11,161,09:33,"(40.0, 66.0)",3.16,26.0
1,Mañana,16,K11,DEPOT (RETORNO),09:46,N/A,31.4,0.0
2,Mañana,12,K11,DEPOT,09:00,N/A,0.0,0.0
2,Mañana,12,K11,154,09:04,"(21.0, 45.0)",17.2,11.0
2,Mañana,12,K11,83,09:11,"(15.0, 47.0)",6.32,16.0
2,Mañana,12,K11,49,09:17,"(13.0, 52.0)",5.39,36.0
2,Mañana,12,K11,183,09:24,"(22.0, 53.0)",9.06,28.0
2,Mañana,12,K11,8,09:30,"(20.0, 50.0)",3.61,5.0
2,Mañana,12,K11,195,09:36,"(21.0, 48.0)",2.24,17.0
2,Mañana,12,K11,107,09:41,"(21.0, 47.0)",1.0,15.0
2,Mañana,12,K11,DEPOT (RETORNO),09:51,N/A,18.44,0.0
3,Mañana,15,K11,DEPOT,09:00,N/A,0.0,0.0
3,Mañana,15,K11,57,09:07,"(53.0, 12.0)",29.21,6.0
3,Mañana,15,K11,187,09:13,"(54.0, 10.0)",2.24,12.0
3,Mañana,15,K11,24,09:19,"(55.0, 5.0)",5.1,29.0
3,Mañana,15,K11,68,09:27,"(67.0, 5.0)",12.0,25.0
3,Mañana,15,K11,171,09:35,"(66.0, 14.0)",9.06,22.0
3,Mañana,15,K11,40,09:41,"(60.0, 12.0)",6.32,31.0
3,Mañana,15,K11,188,09:47,"(60.0, 15.0)",3.0,14.0
3,Mañana,15,K11,140,09:52,"(59.0, 15.0)",1.0,14.0
3,Mañana,15,K11,DEPOT (RETORNO),10:05,N/A,31.24,0.0
4,Mañana,13,K11,DEPOT,09:00,N/A,0.0,0.0
4,Mañana,13,K11,178,09:05,"(55.0, 34.0)",20.02,17.0
4,Mañana,13,K11,135,09:11,"(61.0, 33.0)",6.08,26.0
4,Mañana,13,K11,164,09:17,"(62.0, 35.0)",2.24,12.0
4,Mañana,13,K11,25,09:23,"(65.0, 35.0)",3.0,3.0
4,Mañana,13,K11,30,09:30,"(64.0, 42.0)",7.07,9.0
4,Mañana,13,K11,122,09:35,"(62.0, 42.0)",2.0,8.0
4,Mañana,13,K11,69,09:42,"(56.0, 39.0)",6.71,36.0
4,Mañana,13,K11,151,09:47,"(56.0, 37.0)",2.0,10.0
4,Mañana,13,K11,81,09:52,"(56.0, 37.0)",0.0,6.0
4,Mañana,13,K11,DEPOT (RETORNO),10:03,N/A,21.1,0.0
5,Mañana,5,K11,DEPOT,09:00,N/A,0.0,0.0
5,Mañana,5,K11,199,09:04,"(48.0, 21.0)",19.1,20.0
5,Mañana,5,K11,111,09:10,"(51.0, 21.0)",3.0,5.0
5,Mañana,5,K11,5,09:16,"(55.0, 20.0)",4.12,19.0
5,Mañana,5,K11,156,09:21,"(55.0, 20.0)",0.0,21.0
5,Mañana,5,K11,26,09:29,"(65.0, 20.0)",10.0,6.0
5,Mañana,5,K11,56,09:35,"(63.0, 23.0)",3.61,2.0
5,Mañana,5,K11,166,09:40,"(62.0, 24.0)",1.41,8.0
5,Mañana,5,K11,131,09:47,"(58.0, 27.0)",5.0,19.0
5,Mañana,5,K11,55,09:52,"(57.0, 29.0)",2.24,18.0
5,Mañana,5,K11,180,09:59,"(52.0, 26.0)",5.83,13.0
5,Mañana,5,K11,DEPOT (RETORNO),10:08,N/A,19.24,0.0
6,Mañana,14,K11,DEPOT,09:00,N/A,0.0,0.0
6,Mañana,14,K11,100,09:04,"(20.0, 26.0)",17.49,9.0
6,Mañana,14,K11,105,09:09,"(20.0, 26.0)",0.0,9.0
6,Mañana,14,K11,94,09:15,"(18.0, 24.0)",2.83,22.0
6,Mañana,14,K11,86,09:21,"(16.0, 22.0)",2.83,41.0
6,Mañana,14,K11,62,09:27,"(12.0, 24.0)",4.47,13.0
6,Mañana,14,K11,92,09:33,"(15.0, 19.0)",5.83,1.0
6,Mañana,14,K11,194,09:38,"(16.0, 19.0)",1.0,18.0
6,Mañana,14,K11,101,09:44,"(18.0, 18.0)",2.24,17.0
