ID Físico,Turno,Cluster,Subconjunto,nodo,Hora Llegada,coordenadas,distancia_tramo,peso_tramo
1,Mañana,0,K11,DEPOT,09:00,N/A,0.0,0.0
1,Mañana,0,K11,58,09:48,"(5211.0, 1666.0)",185.8,3.0
1,Mañana,0,K11,80,10:00,"(5225.0, 1689.0)",26.93,1.0
1,Mañana,0,K11,79,10:14,"(5198.0, 1714.0)",36.8,4.0
1,Mañana,0,K11,59,10:25,"(5190.0, 1739.0)",26.25,31.0
1,Mañana,0,K11,60,10:38,"(5217.0, 1759.0)",33.6,8.0
1,Mañana,0,K11,61,10:51,"(5249.0, 1770.0)",33.84,2.0
1,Mañana,0,K11,62,10:59,"(5254.0, 1761.0)",10.3,1.0
1,Mañana,0,K11,74,11:09,"(5264.0, 1739.0)",24.17,1.0
1,Mañana,0,K11,77,11:21,"(5240.0, 1730.0)",25.63,1.0
1,Mañana,0,K11,78,11:29,"(5242.0, 1716.0)",14.14,2.0
1,Mañana,0,K11,76,11:37,"(5253.0, 1718.0)",11.18,4.0
1,Mañana,0,K11,75,11:44,"(5264.0, 1718.0)",11.0,2.0
1,Mañana,0,K11,DEPOT (RETORNO),12:38,N/A,204.63,0.0
2,Mañana,1,K11,DEPOT,09:00,N/A,0.0,0.0
2,Mañana,1,K11,155,10:05,"(5443.0, 1751.0)",251.79,1.0
2,Mañana,1,K11,164,10:16,"(5466.0, 1753.0)",23.09,1.0
2,Mañana,1,K11,163,10:23,"(5466.0, 1761.0)",8.0,1.0
2,Mañana,1,K11,162,10:32,"(5478.0, 1775.0)",18.44,1.0
2,Mañana,1,K11,158,10:41,"(5472.0, 1790.0)",16.16,1.0
2,Mañana,1,K11,157,10:51,"(5456.0, 1777.0)",20.62,1.0
2,Mañana,1,K11,156,10:58,"(5448.0, 1774.0)",8.54,3.0
2,Mañana,1,K11,149,11:06,"(5436.0, 1768.0)",13.42,1.0
2,Mañana,1,K11,148,11:16,"(5432.0, 1787.0)",19.42,3.0
2,Mañana,1,K11,117,11:24,"(5426.0, 1801.0)",15.23,1.0
2,Mañana,1,K11,118,11:33,"(5433.0, 1813.0)",13.89,1.0
2,Mañana,1,K11,370,11:42,"(5418.0, 1818.0)",15.81,5.0
2,Mañana,1,K11,116,11:54,"(5411.0, 1790.0)",28.86,4.0
2,Mañana,1,K11,DEPOT (RETORNO),13:05,N/A,276.52,0.0
