ID Físico Camión,Cluster,Clase K / Plantilla,Turno,Salida CD,Retorno CD,Viaje Efectivo (min),Dist Total,Clientes Atendidos,Peso,Tiempo Solución (segundos)
1,0,K11,Mañana,09:00,12:38,158.95,644.26,12,60.0,625.4
2,1,K11,Mañana,09:00,13:05,180.4,729.78,13,24.0,625.4
3,2,K11,Mañana,09:00,10:23,58.13,228.43,5,64.0,625.4
3,2,K12,Tarde,15:00,15:58,43.87,187.18,3,63.0,625.4
4,2,K21,Mañana,11:00,11:32,22.56,93.98,2,57.0,625.4
4,2,K22,Tarde,17:00,17:24,19.22,65.3,1,60.0,625.4
5,2,K11,Mañana,09:00,09:40,35.61,136.5,1,47.0,625.4
5,2,K12,Tarde,15:00,15:26,21.82,94.34,1,49.0,625.4
6,3,K11,Mañana,09:00,11:53,158.68,640.17,3,57.0,625.4
7,4,K11,Mañana,09:00,12:58,163.9,664.48,15,40.0,625.4
8,5,K11,Mañana,09:00,12:30,180.51,726.19,6,62.0,625.4
8,5,K12,Tarde,15:00,17:18,133.87,564.9,1,23.0,625.4
9,6,K11,Mañana,09:00,13:29,189.33,766.29,16,38.0,625.4
9,6,K12,Tarde,15:00,16:58,113.97,484.19,1,43.0,625.4
10,7,K11,Mañana,09:00,12:01,136.16,549.75,9,36.0,625.4
11,8,K11,Mañana,09:00,14:06,276.61,1114.79,6,39.0,625.4
12,9,K11,Mañana,09:00,11:55,120.06,484.44,11,46.0,625.4
12,9,K12,Tarde,15:00,16:04,59.66,254.85,1,28.0,625.4
13,10,K11,Mañana,09:00,12:07,127.44,513.99,12,17.0,625.4
14,11,K11,Mañana,09:00,11:47,152.4,609.41,3,65.0,625.4
14,11,K12,Tarde,15:00,18:52,192.16,696.5,8,65.0,625.4
15,12,K11,Mañana,09:00,11:26,101.66,409.4,9,63.0,625.4
15,12,K12,Tarde,15:00,16:02,57.24,244.7,1,12.0,625.4
16,13,K11,Mañana,09:00,11:09,104.1,417.08,5,65.0,625.4
16,13,K12,Tarde,15:00,17:25,110.43,431.73,7,29.0,625.4
17,14,K11,Mañana,09:00,12:06,141.84,572.08,9,65.0,625.4
18,15,K11,Mañana,09:00,12:59,219.28,877.48,4,42.0,625.4
18,15,K12,Tarde,15:00,18:42,212.61,823.25,2,61.0,625.4
19,16,K11,Mañana,09:00,11:05,95.71,382.0,6,50.0,625.4
19,16,K12,Tarde,15:00,16:14,59.99,254.98,3,39.0,625.4
20,17,K11,Mañana,09:00,13:11,216.08,869.89,7,23.0,625.4
21,18,K11,Mañana,09:00,12:02,147.85,594.59,7,38.0,625.4
22,19,K11,Mañana,09:00,12:56,206.2,830.22,6,61.0,625.4
22,19,K12,Tarde,15:00,18:31,196.26,758.27,3,60.0,625.4
23,20,K11,Mañana,09:00,12:49,194.21,783.15,7,59.0,625.4
24,21,K11,Mañana,09:00,10:59,84.06,336.34,7,18.0,625.4
25,22,K11,Mañana,09:00,13:34,219.32,884.94,11,24.0,625.4
26,23,K11,Mañana,09:00,10:56,76.12,304.23,8,64.0,625.4
26,23,K12,Tarde,15:00,15:42,37.2,160.05,1,6.0,625.4
27,24,K11,Mañana,09:00,15:08,323.17,1298.14,9,23.0,625.4
28,25,K11,Mañana,09:00,11:08,88.65,355.95,8,65.0,625.4
29,26,K11,Mañana,09:00,11:21,101.94,409.42,8,34.0,625.4
30,27,K11,Mañana,09:00,12:50,175.78,708.83,11,50.0,625.4
30,27,K12,Tarde,15:00,17:24,139.39,584.04,1,42.0,625.4
31,28,K11,Mañana,09:00,13:12,242.7,971.78,2,62.0,625.4
31,28,K12,Tarde,15:00,19:07,242.34,938.44,1,9.0,625.4
32,29,K11,Mañana,09:00,11:23,83.61,336.58,12,36.0,625.4
33,30,K11,Mañana,09:00,13:21,246.65,993.21,3,41.0,625.4
34,31,K11,Mañana,09:00,12:59,194.43,782.77,9,27.0,625.4
35,32,K11,Mañana,09:00,11:14,109.77,440.57,5,26.0,625.4
36,33,K11,Mañana,09:00,11:02,87.19,348.99,7,18.0,625.4
37,34,K11,Mañana,09:00,13:11,246.36,983.75,1,10.0,625.4
38,35,K11,Mañana,09:00,11:46,131.3,527.15,7,19.0,625.4
39,36,K11,Mañana,09:00,12:51,186.98,751.76,9,47.0,625.4
40,37,K11,Mañana,09:00,12:58,198.5,794.53,8,11.0,625.4
41,38,K11,Mañana,09:00,10:14,54.73,212.39,4,60.0,625.4
41,38,K12,Tarde,15:00,16:01,36.56,155.23,5,29.0,625.4
42,39,K11,Mañana,09:00,11:13,103.16,413.85,6,29.0,625.4
43,40,K11,Mañana,09:00,10:10,50.86,197.47,4,52.0,625.4
44,41,K11,Mañana,09:00,13:48,273.29,1093.9,3,27.0,625.4
45,42,K11,Mañana,09:00,09:36,21.26,81.51,3,62.0,625.4
45,42,K12,Tarde,15:00,15:23,13.45,58.17,2,62.0,625.4
46,42,K21,Mañana,11:00,11:11,6.92,28.84,1,26.0,625.4
46,42,K22,Tarde,17:00,17:22,12.63,42.45,2,64.0,625.4
47,43,K11,Mañana,09:00,11:08,118.6,473.46,2,38.0,625.4
47,43,K12,Tarde,15:00,17:15,125.41,514.7,2,61.0,625.4
48,43,K21,Mañana,11:00,13:05,115.54,481.43,2,48.0,625.4
48,43,K22,Tarde,17:00,19:17,127.2,431.37,2,53.0,625.4
49,44,K11,Mañana,09:00,11:35,125.58,503.89,6,21.0,625.4
50,45,K11,Mañana,09:00,10:18,48.4,189.9,6,27.0,625.4
50,45,K12,Tarde,15:00,15:22,17.99,77.9,1,42.0,625.4
