iteracion|Instancia|Optimo|tiempo de computo
1|A-n32-k5|970.94|38.41
2|A-n32-k5|970.94|41.18
3|A-n32-k5|970.94|37.71
4|A-n32-k5|970.94|37.93
5|A-n32-k5|970.94|37.66
6|A-n32-k5|970.94|38.99
7|A-n32-k5|970.94|40.37
8|A-n32-k5|970.94|42.42
9|A-n32-k5|970.94|39.40
10|A-n32-k5|970.94|40.34
1|A-n80-k10|2315.16|55.28
2|A-n80-k10|2315.16|56.24
3|A-n80-k10|2313.90|56.22
4|A-n80-k10|2313.90|57.88
5|A-n80-k10|2313.90|52.01
6|A-n80-k10|2313.90|49.77
7|A-n80-k10|2313.90|56.06
8|A-n80-k10|2315.16|53.19
9|A-n80-k10|2313.90|57.55
10|A-n80-k10|2313.90|58.09
1|B-n56-k7|807.88|44.17
2|B-n56-k7|808.40|47.06
3|B-n56-k7|808.40|45.71
4|B-n56-k7|808.40|49.66
5|B-n56-k7|808.40|46.79
6|B-n56-k7|807.88|44.74
7|B-n56-k7|808.40|50.27
8|B-n56-k7|808.40|47.05
9|B-n56-k7|807.88|44.50
10|B-n56-k7|808.40|42.53
1|E-n33-k4|1051.17|39.20
2|E-n33-k4|1051.17|39.54
3|E-n33-k4|1051.17|50.71
4|E-n33-k4|1051.17|48.51
5|E-n33-k4|1051.17|51.17
6|E-n33-k4|1051.17|49.66
7|E-n33-k4|1051.17|48.73
8|E-n33-k4|1051.17|49.72
9|E-n33-k4|1051.17|49.26
10|E-n33-k4|1051.17|46.32
1|M-n200-k17|1578.23|195.77
2|M-n200-k17|1577.54|184.90
3|M-n200-k17|1578.29|191.21
4|M-n200-k17|1577.54|190.73
5|M-n200-k17|1578.23|189.75
6|M-n200-k17|1578.97|184.04
7|M-n200-k17|1578.97|193.06
