KPI,Valor
Función Objetivo Total,1024901.95
Costo de Ruta (F.O. componente transporte),1021894.14
Penalización por Espera Total (min),3007.8
Distancia Total Recorrida (km),1087.12
Distancia Relativa (km/pedido),9.21
Vehículos Utilizados,20.0
Vehículos en Desuso,0.0
Capacidad Flota Fija,20.0
Tiempo Total en Ruta (horas),78.24
% Entregas a Tiempo,100.0
Tardanza Promedio (min),0.0
% Pedidos No Atendidos (Backlog),0.0
Pedidos No Atendidos (qty),0.0
% Utilización Promedio Capacidad Vehículos,79.9
% Utilización Volumen,96.5
% Utilización Peso,63.4
Desviación Media de Carga (kg),131.06
Tasa de Desocupación (%),126.9
Espera Total Acumulada (min),3007.8
Emisiones CO2 Totales (kg),448.23
Emisiones CO2 por Pedido (kg),3.799
Litros Diesel Estimados,167.25
