KPI,Valor
Función Objetivo Total ($),2820830.08
Costos de Ruta por Transporte ($),820830.08
Costos Fijos por Uso de Flota ($),2000000.0
Valor de Penalización por Espera ($),0.0
Tiempo de Espera Total (min),0.0
Distancia Total Recorrida (km),873.22
Distancia Relativa (km/pedido),8.16
Vehículos Utilizados,20.0
Vehículos en Desuso,0.0
Capacidad Flota Fija,20.0
Tiempo Total en Ruta (horas),45.94
% Entregas a Tiempo,91.6
Tardanza Promedio (min),178.0
% Pedidos No Atendidos (Backlog),0.0
Pedidos No Atendidos (qty),0.0
% Utilización Promedio Capacidad Vehículos,71.7
% Utilización Volumen,85.5
% Utilización Peso,57.8
Desviación Media de Carga (kg),127.76
Tasa de Desocupación (%),0.0
Espera Total Acumulada (min),0.0
Emisiones CO2 Totales (kg),360.04
Emisiones CO2 por Pedido (kg),3.365
Litros Diesel Estimados,134.34
Tiempo de Cómputo (min),16.31
