KPI,Valor
Función Objetivo Total ($),270210784.82
Costos de Ruta por Transporte ($),1099899.19
Costos Fijos por Uso de Flota ($),3000000.0
Valor de Penalización por Espera ($),266110885.63
Tiempo de Espera Total (min),5322.2
Distancia Total Recorrida (km),1170.11
Distancia Relativa (km/pedido),10.17
Vehículos Utilizados,30.0
Vehículos en Desuso,0.0
Capacidad Flota Fija,30.0
Tiempo Total en Ruta (horas),122.38
% Entregas a Tiempo,95.7
Tardanza Promedio (min),13.8
% Pedidos No Atendidos (Backlog),0.0
Pedidos No Atendidos (qty),0.0
% Utilización Promedio Capacidad Vehículos,59.9
% Utilización Volumen,71.1
% Utilización Peso,48.8
Desviación Media de Carga (kg),182.95
Tasa de Desocupación (%),211.3
Espera Total Acumulada (min),5322.2
Emisiones CO2 Totales (kg),482.44
Emisiones CO2 por Pedido (kg),4.195
Litros Diesel Estimados,180.02
Tiempo de Cómputo (min),36.26
