KPI,Valor
Función Objetivo Total ($),2877833.4
Costos de Ruta por Transporte ($),877833.4
Costos Fijos por Uso de Flota ($),2000000.0
Valor de Penalización por Espera ($),0.0
Tiempo de Espera Total (min),0.0
Distancia Total Recorrida (km),933.87
Distancia Relativa (km/pedido),8.12
Vehículos Utilizados,20.0
Vehículos en Desuso,0.0
Capacidad Flota Fija,20.0
Tiempo Total en Ruta (horas),33.48
% Entregas a Tiempo,100.0
Tardanza Promedio (min),0.0
% Pedidos No Atendidos (Backlog),0.0
Pedidos No Atendidos (qty),0.0
% Utilización Promedio Capacidad Vehículos,99.9
% Utilización Volumen,118.5
% Utilización Peso,81.3
Desviación Media de Carga (kg),125.43
Tasa de Desocupación (%),0.0
Espera Total Acumulada (min),0.0
Emisiones CO2 Totales (kg),385.04
Emisiones CO2 por Pedido (kg),3.348
Litros Diesel Estimados,143.67
Tiempo de Cómputo (min),14.4
