KPI,Valor
Función Objetivo Total ($),3656499.6
Costos de Ruta por Transporte ($),1181198.87
Costos Fijos por Uso de Flota ($),2000000.0
Valor de Penalización por Espera ($),475300.73
Tiempo de Espera Total (min),9.5
Distancia Total Recorrida (km),1256.59
Distancia Relativa (km/pedido),10.93
Vehículos Utilizados,20.0
Vehículos en Desuso,0.0
Capacidad Flota Fija,20.0
Tiempo Total en Ruta (horas),53.54
% Entregas a Tiempo,98.3
Tardanza Promedio (min),0.9
% Pedidos No Atendidos (Backlog),0.0
Pedidos No Atendidos (qty),0.0
% Utilización Promedio Capacidad Vehículos,104.3
% Utilización Volumen,124.7
% Utilización Peso,83.8
Desviación Media de Carga (kg),90.65
Tasa de Desocupación (%),0.3
Espera Total Acumulada (min),9.5
Emisiones CO2 Totales (kg),518.1
Emisiones CO2 por Pedido (kg),4.505
Litros Diesel Estimados,193.32
Tiempo de Cómputo (min),25.4
