KPI,Valor
Función Objetivo Total ($),3595464.81
Costos de Ruta por Transporte ($),1120164.08
Costos Fijos por Uso de Flota ($),2000000.0
Valor de Penalización por Espera ($),475300.73
Tiempo de Espera Total (min),9.5
Distancia Total Recorrida (km),1191.66
Distancia Relativa (km/pedido),10.36
Vehículos Utilizados,20.0
Vehículos en Desuso,0.0
Capacidad Flota Fija,20.0
Tiempo Total en Ruta (horas),55.86
% Entregas a Tiempo,98.3
Tardanza Promedio (min),0.9
% Pedidos No Atendidos (Backlog),0.0
Pedidos No Atendidos (qty),0.0
% Utilización Promedio Capacidad Vehículos,95.3
% Utilización Volumen,114.0
% Utilización Peso,76.6
Desviación Media de Carga (kg),69.39
Tasa de Desocupación (%),0.3
Espera Total Acumulada (min),9.5
Emisiones CO2 Totales (kg),491.33
Emisiones CO2 por Pedido (kg),4.272
Litros Diesel Estimados,183.33
Tiempo de Cómputo (min),25.23
