Vehiculo_Fisico,Cluster,Clase_K,Turno,Salida_CD,Retorno_CD,Viaje_Efectivo_min,Espera_min,Servicio_min,Distancia_km,Clientes
1,2,K11,Mañana,09:00,09:37,32.7,0.0,5.0,17.4,1
1,1,K12,Tarde,15:00,15:54,39.6,0.0,15.0,18.8,3
2,2,K11,Mañana,09:00,09:45,35.8,0.0,10.0,19.1,2
2,3,K12,Tarde,15:00,16:01,56.2,0.0,5.0,26.6,1
3,3,K11,Mañana,09:00,09:50,40.1,0.0,10.0,21.4,2
3,2,K12,Tarde,15:00,16:43,63.6,0.0,40.0,30.4,8
4,1,K11,Mañana,09:00,11:29,115.1,9.5,25.0,57.4,5
4,3,K12,Tarde,15:00,17:27,75.1,47.3,25.0,35.8,5
5,3,K11,Mañana,09:00,11:33,95.6,32.6,25.0,47.7,5
5,5,K12,Tarde,15:00,19:41,76.2,184.8,20.0,36.0,4
6,5,K11,Mañana,09:00,13:43,58.5,215.4,10.0,26.7,2
7,4,K11,Mañana,09:00,17:39,115.4,378.6,25.0,58.3,5
8,2,K21,Mañana,11:00,11:47,37.8,0.0,10.0,17.1,2
8,3,K22,Tarde,17:00,19:27,45.4,97.3,5.0,21.8,1
9,3,K21,Mañana,11:00,12:03,53.6,0.0,10.0,24.1,2
9,2,K22,Tarde,17:00,19:40,124.9,0.5,35.0,60.0,7
10,1,K21,Mañana,11:00,13:25,39.9,100.8,5.0,17.0,1
