Vehiculo_Fisico,Cluster,Clase_K,Turno,Salida_CD,Retorno_CD,Viaje_Efectivo_min,Espera_min,Servicio_min,Distancia_km,Clientes
1,5,K21,Mañana,12:30,14:45,115.5,0.0,20.0,42.7,4
1,5,K22,Tarde,17:00,17:55,50.8,0.0,5.0,15.2,1
2,4,K21,Mañana,11:00,13:00,100.2,0.0,20.0,39.1,4
2,5,K22,Tarde,17:00,17:46,42.0,0.0,5.0,12.4,1
3,2,K11,Mañana,09:00,10:54,95.0,0.0,20.0,38.8,4
3,7,K12,Tarde,15:00,16:49,84.0,0.0,25.0,27.1,5
4,5,K21,Mañana,12:42,14:35,97.8,0.0,15.0,36.0,3
4,5,K22,Tarde,17:00,17:44,39.5,0.0,5.0,11.6,1
5,5,K21,Mañana,12:12,13:58,101.7,0.0,5.0,38.1,1
5,4,K22,Tarde,17:00,17:41,36.4,0.0,5.0,10.7,1
6,1,K11,Mañana,09:00,10:43,78.2,0.0,25.0,31.9,5
6,1,K12,Tarde,15:00,16:34,79.7,0.0,15.0,26.4,3
7,4,K21,Mañana,11:00,12:41,81.4,0.0,20.0,31.9,4
7,5,K22,Tarde,17:00,17:40,35.1,0.0,5.0,10.3,1
8,4,K21,Mañana,11:00,12:39,79.9,0.0,20.0,31.5,4
8,4,K22,Tarde,17:00,17:40,35.1,0.0,5.0,10.3,1
9,4,K21,Mañana,11:00,12:39,94.6,0.0,5.0,37.4,1
9,5,K22,Tarde,17:00,17:38,34.0,0.0,5.0,10.0,1
10,5,K21,Mañana,12:27,14:03,85.9,0.0,10.0,32.1,2
10,4,K22,Tarde,17:00,17:38,33.6,0.0,5.0,9.8,1
11,4,K21,Mañana,11:00,12:34,79.2,0.0,15.0,31.1,3
11,4,K22,Tarde,17:00,17:34,29.9,0.0,5.0,8.7,1
12,3,K11,Mañana,09:00,10:33,83.1,0.0,10.0,33.6,2
12,6,K12,Tarde,15:00,16:22,72.7,0.0,10.0,24.2,2
13,7,K11,Mañana,09:00,10:29,69.7,0.0,20.0,28.2,4
13,0,K12,Tarde,15:00,16:18,58.4,0.0,20.0,19.4,4
14,5,K21,Mañana,12:37,14:02,74.5,0.0,10.0,27.6,2
15,0,K11,Mañana,09:00,10:22,57.1,0.0,25.0,23.1,5
15,0,K12,Tarde,15:00,16:02,37.8,0.0,25.0,12.6,5
16,5,K21,Mañana,12:35,13:50,59.2,0.0,15.0,22.0,3
17,3,K11,Mañana,09:00,10:12,57.2,0.0,15.0,23.0,3
17,0,K12,Tarde,15:00,16:02,42.1,0.0,20.0,14.1,4
18,6,K11,Mañana,09:00,10:11,51.2,0.0,20.0,20.6,4
18,3,K12,Tarde,15:00,16:00,55.9,0.0,5.0,18.9,1
19,3,K12,Tarde,15:00,15:59,49.0,0.0,10.0,16.5,2
20,0,K11,Mañana,09:00,09:52,27.3,0.0,25.0,10.9,5
20,6,K12,Tarde,15:00,15:21,16.7,0.0,5.0,5.9,1
