Vehiculo_Fisico,Cluster,Clase_K,Turno,Salida_CD,Retorno_CD,Viaje_Efectivo_min,Espera_min,Servicio_min,Distancia_km,Clientes
1,0,K11,Mañana,09:00,09:51,26.0,0.0,25.0,13.8,5
1,1,K12,Tarde,15:00,15:30,25.4,0.0,5.0,11.9,1
2,3,K11,Mañana,09:00,09:52,37.8,0.0,15.0,20.1,3
2,0,K12,Tarde,15:00,15:31,26.1,0.0,5.0,12.2,1
3,2,K11,Mañana,09:00,10:06,46.7,0.0,20.0,24.7,4
3,0,K12,Tarde,15:00,15:36,26.5,0.0,10.0,12.4,2
4,0,K11,Mañana,09:00,10:21,56.7,0.0,25.0,29.4,5
4,3,K12,Tarde,15:00,15:39,34.1,0.0,5.0,16.0,1
5,6,K11,Mañana,09:00,10:27,67.5,0.0,20.0,34.9,4
5,6,K12,Tarde,15:00,15:44,39.3,0.0,5.0,18.5,1
6,5,K11,Mañana,10:36,12:04,63.5,0.0,25.0,29.3,5
6,2,K12,Tarde,15:00,15:54,49.7,0.0,5.0,23.5,1
7,6,K11,Mañana,10:44,11:30,35.8,0.0,10.0,16.5,2
7,5,K12,Tarde,15:00,15:56,51.1,0.0,5.0,24.1,1
8,3,K11,Mañana,10:44,11:32,37.4,0.0,10.0,17.2,2
8,3,K12,Tarde,15:00,17:20,100.6,0.0,40.0,48.2,8
9,1,K11,Mañana,10:48,12:06,52.6,0.0,25.0,23.6,5
9,7,K12,Tarde,15:14,16:40,65.7,0.0,20.0,31.4,4
10,0,K21,Mañana,11:00,11:41,26.8,0.0,15.0,12.1,3
10,7,K22,Tarde,17:00,17:30,25.3,0.0,5.0,12.2,1
11,0,K21,Mañana,11:00,11:57,42.2,0.0,15.0,18.9,3
11,7,K22,Tarde,17:00,17:41,31.9,0.0,10.0,15.4,2
12,5,K21,Mañana,11:00,12:05,55.8,0.0,10.0,24.9,2
12,0,K22,Tarde,17:00,17:45,30.4,0.0,15.0,14.7,3
13,3,K21,Mañana,11:00,12:33,73.3,0.0,20.0,32.1,4
13,7,K22,Tarde,17:00,17:57,52.4,0.0,5.0,25.3,1
14,6,K21,Mañana,11:00,12:40,85.5,0.0,15.0,37.3,3
14,6,K22,Tarde,17:00,17:59,44.2,0.0,15.0,21.3,3
15,7,K11,Mañana,12:00,13:14,19.1,50.6,5.0,7.8,1
15,7,K12,Tarde,15:42,17:18,75.8,0.0,20.0,36.6,4
16,7,K11,Mañana,12:00,13:41,72.0,24.8,5.0,29.4,1
16,7,K12,Tarde,15:43,16:51,57.6,0.0,10.0,27.8,2
17,7,K11,Mañana,12:00,13:42,56.0,36.7,10.0,22.9,2
17,4,K12,Tarde,16:46,20:20,188.3,0.4,25.0,90.3,5
18,7,K11,Mañana,12:00,13:43,65.3,28.6,10.0,26.7,2
19,4,K11,Mañana,12:00,17:20,32.4,282.7,5.0,14.5,1
20,7,K21,Mañana,12:38,13:31,48.3,0.0,5.0,19.6,1
20,5,K22,Tarde,17:00,17:59,54.9,0.0,5.0,26.6,1
