Vehiculo_Fisico,Cluster,Clase_K,Turno,Salida_CD,Retorno_CD,Viaje_Efectivo_min,Espera_min,Servicio_min,Distancia_km,Clientes
1,8,K21,Mañana,12:25,15:23,99.5,67.6,10.0,42.6,2
1,2,K22,Tarde,18:45,21:26,125.8,0.0,35.0,60.1,7
2,5,K21,Mañana,12:24,14:52,118.4,0.0,30.0,49.4,6
2,1,K22,Tarde,18:33,20:32,93.9,0.0,25.0,44.6,5
3,6,K11,Mañana,10:20,12:46,121.0,0.0,25.0,54.5,5
3,4,K12,Tarde,15:00,16:52,87.3,0.0,25.0,41.7,5
4,5,K21,Mañana,12:34,14:43,104.4,0.0,25.0,43.0,5
4,2,K22,Tarde,18:43,20:39,85.7,0.0,30.0,40.7,6
5,0,K11,Mañana,09:00,10:57,92.1,0.0,25.0,47.2,5
5,4,K12,Tarde,15:00,16:30,75.9,0.0,15.0,36.1,3
6,0,K11,Mañana,09:00,10:47,92.8,0.0,15.0,47.7,3
6,4,K12,Tarde,15:00,16:24,64.3,0.0,20.0,30.6,4
7,0,K11,Mañana,09:00,10:42,82.0,0.0,20.0,42.6,4
7,8,K12,Tarde,15:00,16:17,67.6,0.0,10.0,32.1,2
8,7,K22,Tarde,17:00,18:33,68.8,0.0,25.0,33.3,5
9,0,K11,Mañana,09:00,10:24,69.5,0.0,15.0,36.3,3
9,4,K12,Tarde,15:00,15:59,44.5,0.0,15.0,21.1,3
10,3,K21,Mañana,12:36,13:58,67.2,0.0,15.0,27.2,3
10,1,K22,Tarde,17:00,18:06,51.9,0.0,15.0,25.1,3
11,6,K11,Mañana,10:44,11:57,58.1,0.0,15.0,26.5,3
11,3,K12,Tarde,15:00,15:56,51.1,0.0,5.0,24.1,1
12,6,K11,Mañana,10:51,11:59,58.8,0.0,10.0,26.6,2
12,3,K12,Tarde,15:00,15:51,46.3,0.0,5.0,21.8,1
13,6,K11,Mañana,10:45,11:53,58.4,0.0,10.0,26.5,2
13,0,K12,Tarde,15:00,15:41,31.0,0.0,10.0,14.6,2
14,3,K11,Mañana,10:34,11:37,58.3,0.0,5.0,27.2,1
14,4,K12,Tarde,15:00,15:40,31.0,0.0,10.0,14.6,2
15,3,K11,Mañana,10:35,11:36,55.3,0.0,5.0,25.8,1
15,0,K12,Tarde,15:00,15:40,35.2,0.0,5.0,16.5,1
16,7,K22,Tarde,17:00,17:59,54.9,0.0,5.0,26.6,1
17,1,K22,Tarde,17:00,17:50,40.7,0.0,10.0,19.7,2
18,5,K22,Tarde,17:00,17:47,37.1,0.0,10.0,17.9,2
19,2,K22,Tarde,18:46,19:32,35.9,0.0,10.0,17.1,2
20,1,K22,Tarde,17:00,17:44,29.4,0.0,15.0,14.2,3
