Vehiculo_Fisico,Cluster,Clase_K,Turno,Salida_CD,Retorno_CD,Viaje_Efectivo_min,Espera_min,Servicio_min,Distancia_km,Clientes
1,7,K11,Mañana,09:00,09:41,31.8,0.0,10.0,19.1,2
1,9,K12,Tarde,15:00,15:30,26.0,0.0,5.0,13.9,1
2,9,K11,Mañana,09:00,09:49,34.9,0.0,15.0,20.9,3
2,10,K12,Tarde,15:00,15:36,31.0,0.0,5.0,16.5,1
3,10,K11,Mañana,09:00,09:59,39.7,0.0,20.0,23.7,4
3,6,K12,Tarde,15:00,15:42,22.2,0.0,20.0,11.9,4
4,8,K11,Mañana,09:00,10:06,46.0,0.0,20.0,27.5,4
4,7,K12,Tarde,15:00,15:48,38.8,0.0,10.0,20.7,2
5,5,K11,Mañana,09:00,10:18,63.4,0.0,15.0,37.6,3
5,5,K12,Tarde,15:00,15:55,35.3,0.0,20.0,18.8,4
6,6,K11,Mañana,09:00,10:18,49.0,0.0,30.0,28.9,6
6,8,K12,Tarde,15:00,16:15,60.6,0.0,15.0,32.3,3
7,7,K11,Mañana,09:00,10:29,64.5,0.0,25.0,37.9,5
7,3,K12,Tarde,16:35,18:35,94.8,0.0,25.0,50.4,5
8,5,K21,Mañana,11:00,11:35,25.1,0.0,10.0,13.9,2
8,6,K22,Tarde,17:00,17:19,14.1,0.0,5.0,7.5,1
9,6,K21,Mañana,11:00,11:37,22.4,0.0,15.0,12.3,3
9,7,K22,Tarde,17:00,18:02,42.4,0.0,20.0,22.6,4
10,7,K21,Mañana,11:00,12:05,50.3,0.0,15.0,27.5,3
10,0,K22,Tarde,17:01,17:32,26.1,0.0,5.0,13.9,1
11,0,K11,Mañana,12:00,15:15,50.4,139.7,5.0,26.9,1
11,0,K12,Tarde,17:15,17:32,12.7,0.0,5.0,6.8,1
12,0,K11,Mañana,12:00,15:15,40.7,144.6,10.0,21.7,2
12,0,K12,Tarde,17:15,17:39,19.3,0.0,5.0,10.3,1
13,1,K11,Mañana,12:00,15:49,78.1,131.2,20.0,41.7,4
13,4,K12,Tarde,18:00,21:01,120.6,20.5,40.0,63.4,8
14,3,K11,Mañana,12:00,17:00,21.5,274.4,5.0,11.5,1
15,2,K11,Mañana,12:00,17:14,49.8,260.0,5.0,26.6,1
16,4,K11,Mañana,12:00,18:58,17.2,396.8,5.0,9.0,1
17,4,K11,Mañana,12:00,19:00,20.9,394.8,5.0,11.0,1
18,4,K11,Mañana,12:00,19:01,22.6,393.7,5.0,11.9,1
19,4,K11,Mañana,12:00,19:03,26.7,392.0,5.0,14.0,1
20,4,K11,Mañana,12:00,19:08,37.0,386.4,5.0,19.4,1
21,4,K11,Mañana,12:00,19:08,37.0,386.8,5.0,19.4,1
22,0,K21,Mañana,14:00,15:01,23.3,33.5,5.0,12.4,1
22,3,K22,Tarde,18:59,20:11,62.0,0.0,10.0,32.0,2
23,3,K21,Mañana,14:00,16:59,17.9,156.1,5.0,9.6,1
23,2,K22,Tarde,19:04,19:45,35.6,0.0,5.0,18.4,1
24,2,K21,Mañana,14:00,17:04,29.5,150.2,5.0,15.8,1
25,0,K21,Mañana,14:00,17:19,143.9,11.0,45.0,76.8,9
26,3,K21,Mañana,14:00,17:32,46.0,146.9,20.0,24.5,4
27,4,K21,Mañana,14:00,19:12,44.6,263.1,5.0,23.4,1
28,4,K21,Mañana,14:00,19:15,49.4,260.7,5.0,25.9,1
29,4,K21,Mañana,14:00,19:19,60.1,254.9,5.0,31.6,1
30,4,K21,Mañana,14:00,19:20,59.6,255.8,5.0,31.3,1
