Vehiculo_Fisico,Cluster,Clase_K,Turno,Salida_CD,Retorno_CD,Viaje_Efectivo_min,Espera_min,Servicio_min,Distancia_km,Clientes
1,9,K11,Mañana,09:00,09:28,23.1,0.0,5.0,13.9,1
1,5,K12,Tarde,15:00,15:28,13.2,0.0,15.0,7.1,3
2,5,K11,Mañana,09:00,09:41,31.3,0.0,10.0,18.8,2
2,10,K12,Tarde,15:00,15:36,31.0,0.0,5.0,16.5,1
3,6,K11,Mañana,09:00,09:50,20.9,0.0,30.0,12.5,6
3,9,K12,Tarde,15:00,15:54,39.2,0.0,15.0,20.9,3
4,10,K11,Mañana,09:00,09:59,39.7,0.0,20.0,23.7,4
4,7,K12,Tarde,15:00,16:03,43.1,0.0,20.0,23.0,4
5,8,K11,Mañana,09:00,10:06,46.0,0.0,20.0,27.5,4
5,8,K12,Tarde,15:00,16:15,60.6,0.0,15.0,32.3,3
6,7,K11,Mañana,09:00,10:30,65.4,0.0,25.0,38.4,5
6,6,K12,Tarde,15:00,16:25,55.3,0.0,30.0,29.5,6
7,6,K21,Mañana,11:00,11:29,19.6,0.0,10.0,10.8,2
7,7,K22,Tarde,17:00,17:56,41.2,0.0,15.0,22.0,3
8,7,K21,Mañana,11:00,12:09,49.9,0.0,20.0,27.2,4
8,0,K22,Tarde,17:10,17:47,27.2,0.0,10.0,14.5,2
9,5,K21,Mañana,11:00,12:29,69.3,0.0,20.0,37.8,4
9,2,K22,Tarde,19:09,19:44,30.5,0.0,5.0,15.8,1
10,0,K11,Mañana,12:00,15:05,30.8,149.5,5.0,16.4,1
10,0,K12,Tarde,17:05,17:23,12.7,0.0,5.0,6.8,1
11,0,K11,Mañana,12:00,15:13,33.7,149.8,10.0,18.0,2
11,0,K12,Tarde,17:13,18:08,50.4,0.0,5.0,26.9,1
12,1,K11,Mañana,12:00,15:49,78.1,131.2,20.0,41.7,4
12,4,K12,Tarde,18:00,21:13,127.8,20.5,45.0,67.1,9
13,3,K11,Mañana,12:00,17:00,21.5,274.4,5.0,11.5,1
14,2,K11,Mañana,12:00,17:13,47.2,261.4,5.0,25.2,1
15,4,K11,Mañana,12:00,18:58,17.2,396.8,5.0,9.0,1
16,4,K11,Mañana,12:00,19:00,20.9,394.8,5.0,11.0,1
17,4,K11,Mañana,12:00,19:03,26.7,392.0,5.0,14.0,1
18,4,K11,Mañana,12:00,19:06,33.2,388.6,5.0,17.4,1
19,4,K11,Mañana,12:00,19:08,37.0,386.8,5.0,19.4,1
20,0,K21,Mañana,14:00,15:10,26.6,33.5,10.0,14.2,2
20,3,K22,Tarde,19:11,20:22,60.5,0.0,10.0,31.4,2
