Vehiculo_Fisico,Cluster,Clase_K,Turno,Salida_CD,Retorno_CD,Viaje_Efectivo_min,Espera_min,Servicio_min,Distancia_km,Clientes
1,9,K11,Mañana,09:00,09:49,34.9,0.0,15.0,20.9,3
1,9,K12,Tarde,15:00,15:30,26.0,0.0,5.0,13.9,1
2,7,K11,Mañana,09:00,09:52,37.7,0.0,15.0,22.6,3
2,10,K12,Tarde,15:00,15:36,31.0,0.0,5.0,16.5,1
3,10,K11,Mañana,09:00,09:59,39.7,0.0,20.0,23.7,4
3,5,K12,Tarde,15:00,15:41,26.2,0.0,15.0,14.0,3
4,8,K11,Mañana,09:00,10:06,46.0,0.0,20.0,27.5,4
4,6,K12,Tarde,15:00,15:47,22.2,0.0,25.0,11.9,5
5,6,K11,Mañana,09:00,10:20,50.0,0.0,30.0,29.5,6
5,8,K12,Tarde,15:00,16:15,60.6,0.0,15.0,32.3,3
6,5,K11,Mañana,09:00,10:24,64.4,0.0,20.0,38.1,4
6,7,K12,Tarde,15:00,16:43,73.7,0.0,30.0,39.3,6
7,5,K21,Mañana,11:00,11:17,7.8,0.0,10.0,4.3,2
7,0,K22,Tarde,17:00,17:37,27.2,0.0,10.0,14.5,2
8,6,K21,Mañana,11:00,11:34,19.5,0.0,15.0,10.8,3
8,7,K22,Tarde,17:00,17:54,39.6,0.0,15.0,21.1,3
9,7,K21,Mañana,11:00,12:01,41.3,0.0,20.0,22.6,4
9,2,K22,Tarde,19:09,19:44,30.5,0.0,5.0,15.8,1
10,0,K11,Mañana,12:00,14:59,19.2,155.4,5.0,10.2,1
10,0,K12,Tarde,16:59,18:12,68.1,0.0,5.0,36.3,1
11,0,K11,Mañana,12:00,15:01,23.2,153.5,5.0,12.4,1
11,0,K12,Tarde,17:01,18:02,51.1,0.0,10.0,27.2,2
12,1,K11,Mañana,12:00,15:49,78.1,131.2,20.0,41.7,4
12,4,K12,Tarde,18:00,21:30,139.9,20.5,50.0,73.6,10
13,2,K11,Mañana,12:00,17:11,43.7,262.5,5.0,23.3,1
14,4,K11,Mañana,12:00,18:58,17.2,396.8,5.0,9.0,1
15,4,K11,Mañana,12:00,19:00,20.9,394.8,5.0,11.0,1
16,4,K11,Mañana,12:00,19:01,22.6,393.7,5.0,11.9,1
17,4,K11,Mañana,12:00,19:03,26.7,392.0,5.0,14.0,1
18,4,K11,Mañana,12:00,19:08,37.0,386.8,5.0,19.4,1
19,0,K21,Mañana,14:00,14:56,12.7,38.5,5.0,6.8,1
19,3,K22,Tarde,19:41,20:08,22.1,0.0,5.0,11.5,1
20,0,K21,Mañana,14:00,17:00,110.7,29.5,40.0,59.1,8
