Vehiculo_Fisico,Cluster,Clase_K,Turno,Salida_CD,Retorno_CD,Viaje_Efectivo_min,Espera_min,Servicio_min,Distancia_km,Clientes
1,1,K11,Mañana,09:00,09:49,39.9,0.0,10.0,15.3,2
1,1,K12,Tarde,15:00,15:32,27.5,0.0,5.0,11.9,1
2,0,K11,Mañana,09:00,09:53,43.4,0.0,10.0,16.6,2
2,5,K12,Tarde,15:00,15:41,31.8,0.0,10.0,13.7,2
3,4,K11,Mañana,09:00,10:42,92.4,0.0,10.0,36.5,2
3,1,K12,Tarde,15:00,15:48,43.0,0.0,5.0,18.5,1
4,1,K11,Mañana,09:00,10:43,99.0,0.0,5.0,38.7,1
4,1,K12,Tarde,15:00,16:11,56.4,0.0,15.0,24.0,3
5,0,K11,Mañana,09:00,10:50,90.8,0.0,20.0,36.1,4
5,4,K12,Tarde,15:00,16:16,66.2,0.0,10.0,28.1,2
6,1,K11,Mañana,09:00,11:02,107.4,0.0,15.0,42.8,3
6,0,K12,Tarde,15:00,16:27,77.2,0.0,10.0,32.7,2
7,5,K11,Mañana,09:00,11:06,101.3,0.0,25.0,40.4,5
7,1,K12,Tarde,15:00,16:29,74.6,0.0,15.0,31.7,3
8,2,K11,Mañana,09:00,11:17,108.1,9.5,20.0,43.3,4
8,1,K12,Tarde,15:00,16:35,75.4,0.0,20.0,31.5,4
9,1,K11,Mañana,10:41,11:30,33.8,0.0,15.0,14.1,3
9,1,K12,Tarde,15:55,16:13,12.9,0.0,5.0,5.4,1
10,1,K11,Mañana,10:47,11:42,39.6,0.0,15.0,16.5,3
10,3,K12,Tarde,16:29,18:32,107.9,0.0,15.0,37.4,3
11,1,K21,Mañana,11:00,11:22,17.6,0.0,5.0,7.3,1
11,1,K22,Tarde,17:00,17:36,31.7,0.0,5.0,10.6,1
12,1,K21,Mañana,11:00,11:34,29.3,0.0,5.0,12.2,1
12,1,K22,Tarde,17:00,17:44,34.5,0.0,10.0,11.3,2
13,5,K21,Mañana,11:00,11:45,40.5,0.0,5.0,16.9,1
13,1,K22,Tarde,17:00,17:52,42.4,0.0,10.0,13.7,2
14,1,K21,Mañana,11:00,12:04,44.1,0.0,20.0,18.4,4
14,1,K22,Tarde,17:00,18:04,49.4,0.0,15.0,15.9,3
15,1,K21,Mañana,11:00,13:33,128.0,0.0,25.0,53.3,5
15,0,K22,Tarde,17:00,18:17,68.0,0.0,10.0,21.7,2
16,3,K11,Mañana,12:00,12:57,15.4,37.2,5.0,6.4,1
16,3,K12,Tarde,17:21,18:59,93.1,0.0,5.0,30.1,1
17,3,K11,Mañana,12:00,13:16,52.3,19.0,5.0,21.8,1
17,3,K12,Tarde,18:00,19:37,61.6,25.9,10.0,22.8,2
18,1,K11,Mañana,12:00,13:55,92.1,8.7,15.0,38.5,3
18,3,K12,Tarde,18:00,21:19,157.5,16.9,25.0,67.8,5
19,3,K11,Mañana,12:00,15:21,51.3,140.2,10.0,21.8,2
20,4,K21,Mañana,12:23,13:55,76.2,0.0,15.0,31.8,3
20,4,K22,Tarde,17:00,18:29,74.2,0.0,15.0,23.9,3
21,0,K21,Mañana,12:35,14:18,78.5,0.0,25.0,33.2,5
21,1,K22,Tarde,17:00,18:43,98.6,0.0,5.0,31.9,1
22,1,K21,Mañana,12:44,13:20,31.3,0.0,5.0,13.0,1
22,3,K22,Tarde,17:03,19:09,64.6,50.4,10.0,21.8,2
23,3,K21,Mañana,14:00,15:03,27.8,31.2,5.0,12.0,1
23,3,K22,Tarde,18:07,19:45,83.1,0.0,15.0,30.7,3
24,3,K21,Mañana,14:00,15:08,38.2,25.5,5.0,16.5,1
24,3,K22,Tarde,18:23,20:10,97.6,0.0,10.0,39.0,2
25,3,K21,Mañana,14:00,16:07,86.0,31.8,10.0,36.8,2
26,3,K21,Mañana,14:00,16:23,113.5,14.8,15.0,48.5,3
