Vehiculo_Fisico,Cluster,Clase_K,Turno,Salida_CD,Retorno_CD,Viaje_Efectivo_min,Espera_min,Servicio_min,Distancia_km,Clientes
1,3,K11,Mañana,12:00,15:49,85.7,133.6,10.0,36.4,2
1,3,K12,Tarde,18:00,20:11,121.5,0.0,10.0,45.3,2
2,1,K11,Mañana,09:00,12:09,164.4,0.0,25.0,66.3,5
2,3,K12,Tarde,17:49,19:54,109.9,0.0,15.0,40.6,3
3,1,K11,Mañana,09:00,11:49,144.5,0.0,25.0,58.3,5
3,3,K12,Tarde,16:29,18:26,106.2,0.0,10.0,36.5,2
4,1,K22,Tarde,17:00,19:41,146.2,0.0,15.0,50.1,3
5,1,K11,Mañana,10:41,13:01,125.0,0.0,15.0,52.1,3
5,3,K12,Tarde,16:25,18:13,98.6,0.0,10.0,34.2,2
6,3,K22,Tarde,18:10,20:28,118.6,0.0,20.0,46.8,4
7,2,K11,Mañana,09:00,11:17,108.1,9.5,20.0,43.3,4
7,4,K12,Tarde,15:00,16:16,66.2,0.0,10.0,28.1,2
8,0,K11,Mañana,09:00,11:07,112.9,0.0,15.0,45.0,3
8,0,K12,Tarde,15:00,16:00,51.0,0.0,10.0,21.7,2
9,5,K11,Mañana,09:00,11:06,101.3,0.0,25.0,40.4,5
9,1,K12,Tarde,15:00,15:52,42.0,0.0,10.0,18.0,2
10,1,K22,Tarde,17:00,18:56,101.3,0.0,15.0,33.4,3
11,1,K21,Mañana,12:23,14:16,92.8,0.0,20.0,39.1,4
11,1,K22,Tarde,17:00,18:43,98.6,0.0,5.0,31.9,1
12,3,K21,Mañana,14:00,15:48,78.8,19.9,10.0,34.0,2
13,0,K11,Mañana,09:00,10:43,78.9,0.0,25.0,31.4,5
13,1,K12,Tarde,15:01,15:49,43.1,0.0,5.0,18.5,1
14,4,K11,Mañana,09:00,10:42,92.4,0.0,10.0,36.5,2
14,1,K12,Tarde,15:00,15:44,34.3,0.0,10.0,14.7,2
15,3,K22,Tarde,17:03,18:45,86.8,0.0,15.0,28.0,3
16,3,K22,Tarde,17:32,19:11,83.2,5.8,10.0,26.8,2
17,1,K21,Mañana,11:00,12:38,73.4,0.0,25.0,30.6,5
17,4,K22,Tarde,17:00,18:29,74.2,0.0,15.0,23.9,3
18,3,K21,Mañana,14:00,15:34,68.9,15.6,10.0,29.8,2
19,3,K21,Mañana,14:00,15:32,51.2,30.9,10.0,22.1,2
20,4,K21,Mañana,12:23,13:55,76.2,0.0,15.0,31.8,3
20,0,K22,Tarde,17:00,17:53,43.9,0.0,10.0,14.3,2
