Vehiculo_Fisico,Cluster,Clase_K,Turno,Salida_CD,Retorno_CD,Viaje_Efectivo_min,Espera_min,Servicio_min,Distancia_km,Clientes
1,1,K21,Mañana,11:00,13:55,150.0,0.0,25.0,62.6,5
1,3,K22,Tarde,18:15,20:41,130.7,0.0,15.0,53.5,3
2,3,K12,Tarde,15:00,17:36,136.1,0.0,20.0,53.5,4
3,2,K11,Mañana,09:00,11:17,108.1,9.5,20.0,43.3,4
3,3,K12,Tarde,15:00,17:15,120.3,0.0,15.0,48.5,3
4,1,K11,Mañana,09:00,11:13,113.9,0.0,20.0,45.6,4
4,3,K12,Tarde,16:49,18:46,107.6,0.0,10.0,35.5,2
5,0,K11,Mañana,09:00,11:10,100.4,0.0,30.0,40.2,6
5,3,K12,Tarde,16:48,18:43,105.6,0.0,10.0,34.1,2
6,5,K11,Mañana,09:00,11:06,101.3,0.0,25.0,40.4,5
6,3,K12,Tarde,16:45,18:11,70.4,0.0,15.0,22.8,3
7,1,K22,Tarde,17:00,18:50,90.9,0.0,20.0,29.8,4
8,1,K21,Mañana,11:00,12:48,98.8,0.0,10.0,41.2,2
8,3,K22,Tarde,18:43,20:32,93.5,0.0,15.0,39.5,3
9,3,K22,Tarde,18:17,20:01,84.7,0.0,20.0,33.1,4
10,1,K22,Tarde,17:00,18:43,98.6,0.0,5.0,31.9,1
11,4,K11,Mañana,09:00,10:42,92.4,0.0,10.0,36.5,2
11,4,K12,Tarde,15:00,16:05,55.3,0.0,10.0,23.6,2
12,1,K22,Tarde,17:00,18:40,86.0,0.0,15.0,27.9,3
13,4,K21,Mañana,12:23,14:03,79.4,0.0,20.0,33.2,4
13,4,K22,Tarde,17:00,18:35,85.5,0.0,10.0,27.2,2
14,0,K21,Mañana,12:35,14:09,69.0,0.0,25.0,29.1,5
14,1,K22,Tarde,17:00,18:19,69.3,0.0,10.0,22.5,2
15,0,K11,Mañana,09:00,10:26,81.0,0.0,5.0,31.3,1
15,1,K12,Tarde,15:00,16:03,48.2,0.0,15.0,20.5,3
16,3,K21,Mañana,12:33,13:40,56.8,0.0,10.0,23.7,2
16,1,K22,Tarde,17:00,18:01,56.9,0.0,5.0,18.5,1
17,1,K21,Mañana,11:00,12:06,46.7,0.0,20.0,19.5,4
17,0,K22,Tarde,17:00,17:53,43.9,0.0,10.0,14.3,2
18,1,K11,Mañana,09:00,10:05,55.3,0.0,10.0,21.4,2
18,3,K12,Tarde,15:00,16:00,50.4,0.0,10.0,21.5,2
19,1,K11,Mañana,09:00,09:54,34.2,0.0,20.0,13.1,4
19,0,K12,Tarde,15:00,15:47,42.6,0.0,5.0,18.3,1
20,5,K11,Mañana,09:00,09:49,44.1,0.0,5.0,16.9,1
20,1,K12,Tarde,15:00,15:44,29.1,0.0,15.0,12.5,3
