Vehiculo_Fisico,Cluster,Clase_K,Turno,Salida_CD,Retorno_CD,Viaje_Efectivo_min,Espera_min,Servicio_min,Distancia_km,Clientes
1,1,K21,Mañana,11:00,13:49,144.8,0.0,25.0,60.3,5
1,1,K22,Tarde,17:00,19:13,123.5,0.0,10.0,41.1,2
2,2,K11,Mañana,09:00,11:17,108.1,9.5,20.0,43.3,4
2,3,K12,Tarde,16:29,18:22,102.4,0.0,10.0,35.3,2
3,0,K11,Mañana,09:00,11:16,101.3,0.0,35.0,40.6,7
3,3,K12,Tarde,15:00,16:51,96.7,0.0,15.0,39.9,3
4,1,K11,Mañana,09:00,11:09,114.3,0.0,15.0,45.7,3
4,3,K12,Tarde,16:30,18:19,89.4,0.0,20.0,30.3,4
5,3,K22,Tarde,18:07,20:16,119.3,0.0,10.0,45.5,2
6,5,K11,Mañana,09:00,11:06,101.3,0.0,25.0,40.4,5
6,3,K12,Tarde,15:00,16:36,86.3,0.0,10.0,36.4,2
7,1,K11,Mañana,09:00,10:47,92.4,0.0,15.0,36.5,3
7,3,K12,Tarde,15:00,16:30,75.9,0.0,15.0,31.9,3
8,1,K21,Mañana,11:00,12:47,87.2,0.0,20.0,36.3,4
8,3,K22,Tarde,18:41,20:20,84.0,0.0,15.0,35.5,3
9,1,K21,Mañana,11:00,12:46,81.4,0.0,25.0,33.9,5
9,3,K22,Tarde,18:35,20:10,74.6,0.0,20.0,31.2,4
10,4,K11,Mañana,09:00,10:42,92.4,0.0,10.0,36.5,2
10,3,K12,Tarde,16:25,17:55,84.9,0.0,5.0,30.1,1
11,1,K11,Mañana,09:00,10:32,77.8,0.0,15.0,30.6,3
11,4,K12,Tarde,15:00,16:16,66.2,0.0,10.0,28.1,2
12,4,K21,Mañana,12:23,13:55,76.2,0.0,15.0,31.8,3
12,4,K22,Tarde,17:00,18:29,74.2,0.0,15.0,23.9,3
13,0,K21,Mañana,12:35,14:03,68.3,0.0,20.0,28.7,4
13,1,K22,Tarde,17:00,18:04,55.0,0.0,10.0,17.5,2
14,1,K11,Mañana,09:00,10:27,82.4,0.0,5.0,31.9,1
14,3,K12,Tarde,16:40,17:53,63.4,0.0,10.0,20.9,2
15,0,K11,Mañana,09:00,10:26,81.0,0.0,5.0,31.3,1
15,1,K12,Tarde,15:00,15:48,43.0,0.0,5.0,18.5,1
16,3,K21,Mañana,12:52,13:59,57.3,0.0,10.0,24.1,2
16,0,K22,Tarde,17:00,17:53,43.9,0.0,10.0,14.3,2
17,1,K21,Mañana,11:00,11:58,43.9,0.0,15.0,18.3,3
17,1,K22,Tarde,17:00,17:52,42.9,0.0,10.0,13.9,2
18,1,K21,Mañana,11:00,11:52,37.5,0.0,15.0,15.6,3
18,1,K22,Tarde,17:00,17:49,39.5,0.0,10.0,12.8,2
19,5,K11,Mañana,09:00,09:49,44.1,0.0,5.0,16.9,1
19,0,K12,Tarde,15:00,15:47,42.6,0.0,5.0,18.3,1
20,1,K12,Tarde,15:00,15:45,30.1,0.0,15.0,12.9,3
