Vehiculo_Fisico,Cluster,Clase_K,Turno,Salida_CD,Retorno_CD,Viaje_Efectivo_min,Espera_min,Servicio_min,Distancia_km,Clientes
1,4,K21,Mañana,11:00,13:48,139.2,14.3,15.0,58.0,3
1,1,K22,Tarde,18:28,20:27,103.2,0.0,15.0,43.5,3
2,3,K12,Tarde,15:00,17:05,110.3,0.0,15.0,44.7,3
3,1,K22,Tarde,18:23,20:03,84.9,0.0,15.0,33.1,3
4,3,K12,Tarde,15:00,16:37,77.2,0.0,20.0,32.1,4
5,1,K22,Tarde,18:21,19:52,76.4,0.0,15.0,30.2,3
6,4,K21,Mañana,12:32,14:00,77.9,0.0,10.0,32.6,2
6,4,K22,Tarde,17:00,18:26,81.4,0.0,5.0,26.3,1
7,4,K21,Mañana,11:00,12:19,69.9,0.0,10.0,29.1,2
7,1,K22,Tarde,18:44,19:54,50.4,0.0,20.0,21.0,4
8,3,K12,Tarde,15:00,15:48,38.9,0.0,10.0,16.7,2
9,4,K21,Mañana,12:45,13:33,33.3,0.0,15.0,13.9,3
9,4,K22,Tarde,17:00,17:44,39.3,0.0,5.0,13.0,1
10,4,K22,Tarde,17:00,17:40,35.6,0.0,5.0,11.9,1
11,4,K22,Tarde,17:00,17:36,31.7,0.0,5.0,10.6,1
12,3,K12,Tarde,15:00,15:32,27.9,0.0,5.0,12.0,1
13,4,K21,Mañana,11:00,11:27,22.4,0.0,5.0,9.3,1
